QualificationName,AwardingOrganisation,QualificationNumber,Level,QualificationType,Subcategory,SectorSubjectArea,Status
,,61073325,,,,,
,,60368895,,,,,
,,60325938,,,,,
,,60147003,,,,,
,,60136340,,,,,
,,60357290,,,,,
,,6017917X,,,,,
,,61047636,,,,,
,,60180626,,,,,
,,61029415,,,,,
,,60093110,,,,,
,,60365948,,,,,
,,60132589,,,,,
,,61051251,,,,,
,,60338581,,,,,
,,60104090,,,,,
,,61013274,,,,,
,,6035754X,,,,,
,,50119394,,,,,
,,61030892,,,,,
,,6100988X,,,,,
,,60135918,,,,,
,,60149954,,,,,
,,50097970,,,,,
,,60184450,,,,,
,,60342304,,,,,
,,6034992X,,,,,
,,60148688,,,,,
,,60337837,,,,,
,,50110329,,,,,
,,60328319,,,,,
,,61026578,,,,,
,,61026645,,,,,
,,60026984,,,,,
,,50076656,,,,,
,,60331525,,,,,
,,6013818X,,,,,
,,60330247,,,,,
,,60072969,,,,,
,,60087572,,,,,
,,60338830,,,,,
,,61001014,,,,,
,,6036287X,,,,,
,,60301296,,,,,
,,60362728,,,,,
,,6015469X,,,,,
,,60346735,,,,,
,,60003431,,,,,
,,6104765X,,,,,
,,60354112,,,,,
,,60315040,,,,,
,,6036029X,,,,,
,,60154123,,,,,
,,60371468,,,,,
,,60307882,,,,,
,,60174444,,,,,
,,60326025,,,,,
,,60348240,,,,,
,,60181850,,,,,
,,50099826,,,,,
,,60044858,,,,,
,,60143344,,,,,
,,60079174,,,,,
,,60350180,,,,,
,,60016486,,,,,
,,60342407,,,,,
,,60342602,,,,,
,,61073246,,,,,
,,60310832,,,,,
,,60318405,,,,,
,,60058857,,,,,
,,50090100,,,,,
,,6017934X,,,,,
,,6032966X,,,,,
,,60303487,,,,,
,,60323371,,,,,
,,60361864,,,,,
,,60343965,,,,,
,,60314722,,,,,
,,50122800,,,,,
,,60349359,,,,,
,,60364920,,,,,
,,61026268,,,,,
,,60121051,,,,,
,,60181928,,,,,
,,60377252,,,,,
,,60172137,,,,,
,,6032515X,,,,,
,,61004613,,,,,
,,60334630,,,,,
,,60347533,,,,,
,,60146564,,,,,
,,61059080,,,,,
,,60357289,,,,,
,,60004745,,,,,
,,50119813,,,,,
,,60315064,,,,,
,,60146771,,,,,
,,60148639,,,,,
,,60321891,,,,,
,,60365936,,,,,
,,60319069,,,,,
,,60347016,,,,,
,,50118596,,,,,
,,60357666,,,,,
,,60166733,,,,,
,,60338295,,,,,
,,60331513,,,,,
,,60340630,,,,,
,,60334848,,,,,
,,60321611,,,,,
,,50112181,,,,,
,,60143794,,,,,
,,60026984,,,,,
,,60352668,,,,,
,,60370117,,,,,
,,61039901,,,,,
,,60306646,,,,,
,,60075247,,,,,
,,60356595,,,,,
,,61047685,,,,,
,,6034359X,,,,,
,,50061057,,,,,
,,60332797,,,,,
,,6036502X,,,,,
,,60187578,,,,,
,,60356224,,,,,
,,6034197X,,,,,
,,60342699,,,,,
,,60357915,,,,,
,,61047788,,,,,
,,60142698,,,,,
,,60353879,,,,,
,,5011394X,,,,,
,,60037386,,,,,
,,60307067,,,,,
,,60304583,,,,,
,,60356753,,,,,
,,60145316,,,,,
,,60306348,,,,,
,,60324247,,,,,
,,60355773,,,,,
,,60350520,,,,,
,,61032190,,,,,
,,60326293,,,,,
,,6002172X,,,,,
,,60339949,,,,,
,,60351184,,,,,
,,60154226,,,,,
,,50043080,,,,,
,,60323504,,,,,
,,50075275,,,,,
,,60084972,,,,,
,,60355724,,,,,
,,60311745,,,,,
,,60053628,,,,,
,,60139535,,,,,
,,60346279,,,,,
,,60175850,,,,,
,,60313304,,,,,
,,61047715,,,,,
,,60059187,,,,,
,,61016561,,,,,
,,60116912,,,,,
,,60321623,,,,,
,,50086844,,,,,
,,60356674,,,,,
,,60356029,,,,,
,,60349682,,,,,
,,60185946,,,,,
,,60347612,,,,,
,,60326700,,,,,
,,60314850,,,,,
,,60357253,,,,,
,,60307602,,,,,
,,60102585,,,,,
,,50062268,,,,,
,,60356480,,,,,
,,60138919,,,,,
,,60303220,,,,,
,,6105799X,,,,,
,,60140264,,,,,
,,61016639,,,,,
,,60131421,,,,,
,,60036953,,,,,
,,60317024,,,,,
,,60073408,,,,,
,,60322275,,,,,
,,60152576,,,,,
,,60179880,,,,,
,,60335257,,,,,
,,50120372,,,,,
,,50104135,,,,,
,,60096767,,,,,
,,60154214,,,,,
