QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
60365997,CTH Level 3 Foundation Diploma in Hospitality Business,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,620,1380,True,True,True,True,LegalEntitlementL2L3,2026/08/01,Excluded,Excluded,Operating End Date is before the Threshold,2026/10/31,,2027/07/31,2027/07/31,
60365997,CTH Level 3 Foundation Diploma in Hospitality Business,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,620,1380,True,True,True,True,AdvancedLearnerLoans,2023/08/01,Excluded,Excluded,Operating End Date is before the Threshold,2026/10/31,,2027/07/31,2027/07/31,
60365997,CTH Level 3 Foundation Diploma in Hospitality Business,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,620,1380,True,True,True,True,Age1619,2023/08/01,Excluded,Excluded,Operating End Date is before the Threshold,2026/10/31,,2027/07/31,2027/07/31,
60366199,NOCN Level 2 Certificate for Plaster Skimmer,NOCN,Level 2,Vocationally-Related Qualification,Building and construction,True,True,206,210,False,True,False,True,Age1619,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60366199,NOCN Level 2 Certificate for Plaster Skimmer,NOCN,Level 2,Vocationally-Related Qualification,Building and construction,True,True,206,210,False,True,False,True,LocalFlexibilities,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
6036645X,NOCN Level 2 NVQ Diploma in Specialist Concrete Occupations (Construction),NOCN,Level 2,Occupational Qualification,Building and construction,True,True,211,502,False,True,False,True,LocalFlexibilities,2020/12/01,Extended,Extended,,,,2027/07/31,2028/07/31,
6036645X,NOCN Level 2 NVQ Diploma in Specialist Concrete Occupations (Construction),NOCN,Level 2,Occupational Qualification,Building and construction,True,True,211,502,False,True,False,True,Age1619,2020/12/01,Extended,Extended,,,,2027/07/31,2028/07/31,
6036659X,SEG Awards Level 1 Award in Developing Digital Literacy,Skills and Education Group Awards,Level 1,Other Life Skills Qualification,Preparation for work,True,True,10,11,True,True,True,True,Age1416,2020/10/01,Excluded,Excluded,Operating End Date is before the Threshold,2026/09/30,,2027/07/31,2027/07/31,
60366643,IAO Level 2 Certificate in Awareness of Mental Health Conditions,Innovate Awarding,Level 2,Vocationally-Related Qualification,Health and social care,True,True,118,270,False,True,True,True,LocalFlexibilities,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60366643,IAO Level 2 Certificate in Awareness of Mental Health Conditions,Innovate Awarding,Level 2,Vocationally-Related Qualification,Health and social care,True,True,118,270,False,True,True,True,Age1619,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60366655,IAO Level 2 Certificate in Understanding Behaviour that Challenges ,Innovate Awarding,Level 2,Vocationally-Related Qualification,Health and social care,True,True,131,160,False,True,True,True,LocalFlexibilities,2020/10/01,Extended,Extended,,,,2027/07/31,2028/07/31,
