QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
6036550X,Gateway Qualifications Level 1 Diploma in Childcare,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Child development and well-being,True,True,351,390,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
6036550X,Gateway Qualifications Level 1 Diploma in Childcare,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Child development and well-being,True,True,351,390,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
6036550X,Gateway Qualifications Level 1 Diploma in Childcare,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Child development and well-being,True,True,351,390,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365511,Gateway Qualifications Entry Level Award in Building and Construction (Entry 3),Gateway Qualifications Limited,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,60,60,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365511,Gateway Qualifications Entry Level Award in Building and Construction (Entry 3),Gateway Qualifications Limited,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,60,60,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365511,Gateway Qualifications Entry Level Award in Building and Construction (Entry 3),Gateway Qualifications Limited,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,60,60,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365523,Gateway Qualifications Entry Level Certificate in Building and Construction (Entry 3),Gateway Qualifications Limited,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,170,180,True,True,True,True,Age1619,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365523,Gateway Qualifications Entry Level Certificate in Building and Construction (Entry 3),Gateway Qualifications Limited,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,170,180,True,True,True,True,LocalFlexibilities,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365523,Gateway Qualifications Entry Level Certificate in Building and Construction (Entry 3),Gateway Qualifications Limited,Entry Level,Vocationally-Related Qualification,Building and construction,True,True,170,180,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365535,Gateway Qualifications Level 1 Award in Building and Construction,Gateway Qualifications Limited,Level 1,Vocationally-Related Qualification,Building and construction,True,True,60,60,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
